cell_name,cell_idx,drug_name,drug_idx,IC50
OAW-42,282,RO-3306,307,4.465102
HCC-827,743,SB505124,320,5.269976
HCC70,440,GSK591,171,4.808503
BT-549,33,Alisertib,18,2.452697
H-EMC-SS,329,XMD8-92,403,2.164583
MM1S,877,Paclitaxel,265,-4.808058
IM-95,386,Leflunomide,212,4.472238
NCI-H1792,520,Midostaurin,227,-1.118032
NCI-H69,790,Ribociclib,306,4.072093
OVK-18,85,Luminespib,222,-2.146936
OCI-LY7,265,Pictilisib,286,-0.565953
G-402,577,Torin 2,359,-2.568584
JHH-7,396,Oxaliplatin,262,7.061207
BT-483,605,BPTES,77,5.674032
SF126,202,Quizartinib,302,2.615836
LS-513,443,CZC24832,112,4.956259
TE-8,156,ZG-10,408,0.734422
SUP-B15,837,Tanespimycin,347,1.468268
SNG-M,196,GSK2606414,164,3.150904
MOG-G-UVW,304,BIX02189,69,4.516053
SK-N-SH,769,NU7441,249,3.349249
IGROV-1,54,Schweinfurthin A,324,1.836606
NCI-H2171,488,PD173074,272,4.045162
JVM-3,700,LDN-193189,211,1.223547
JVM-3,700,Fedratinib,140,2.886256
ESO26,332,POMHEX,292,2.29498
GA-10,576,LGK974,216,3.38993
HCC70,440,N-acetyl cysteine,239,9.638733
DMS-273,316,WHI-P97,391,3.580661
HMV-II,131,EHT-1864,126,3.897559
OV-90,810,Linsitinib,219,4.811186
G-361,579,Afuresertib,11,2.529102
FADU,582,Temsirolimus,351,2.07788
P12-ICHIKAWA,269,IMD-0354,189,-0.579408
NCI-H2029,490,CAY10603,88,1.700344
BALL-1,128,CZC24832,112,3.727204
MC116,411,TAK-715,344,3.156665
CAL-51,633,Ipatasertib,192,1.365588
NCI-H1435,425,Uprosertib,375,3.345802
KGN,139,Thapsigargin,355,-6.268925
NCI-H196,513,ARRY-520,26,-1.556047
NCI-H2170,473,Cabozantinib,84,4.419691
OSC-20,354,Leflunomide,212,5.569077
IHH-4,385,Pyridostatin,296,3.560489
SF268,11,Selumetinib,327,6.44274
L-1236,146,Sepantronium bromide,328,-4.263861
NCI-H187,516,CRT0105950,106,2.082044
OCI-AML5,267,glutathione,154,8.621502
KMRC-20,392,KU-55933,206,4.702515
SCC-9,754,KU-60019,207,3.0512
TC-71,233,Temsirolimus,351,0.16625
DEL,648,STF-62247,340,4.110741
BC-3,607,Selumetinib,327,2.29408
SW620,565,MIRA-1,229,6.576897
EFM-19,735,Idelalisib,187,3.818181
MHH-ES-1,205,Erlotinib,137,4.558684
ABC-1,296,Podophyllotoxin bromide,291,0.461199
Hs-445,435,NU7441,249,4.790901
CGTH-W-1,874,NSC319726,248,-0.379264
IGR-37,742,JQ1,198,2.383196
GAK,336,PHA-665752,282,3.096526
NCI-H1944,514,CPI-613,103,5.217368
KYSE-450,712,MN-64,236,5.837657
8-MG-BA,686,GNE-317,155,-0.456871
SNB75,18,Wnt-C59,393,5.599601
NCI-H1792,520,WHI-P97,391,4.060078
MSTO-211H,413,Mycophenolic acid,238,1.783081
U031,25,IPA-3,191,2.539714
BT-474,660,AGK2,14,3.092757
no-10,363,Ponatinib,293,1.839171
SC-1,217,Amuvatinib,22,2.09408
SNU-1040,72,PHA-793887,283,1.025543
MS751,412,Cisplatin,99,3.559335
SW620,565,AZD5363,48,5.088386
COR-L303,310,Ruxolitinib,311,3.436038
P31-FUJ,190,ETP-45835,139,4.773118
A253,537,CCT245232,91,-2.775413
A172,540,Buparlisib,80,0.220502
HSC-4,376,CI-1040,98,-1.314636
EKVX,30,OF-1,254,2.964786
NCI-H1092,421,VX-11e,386,5.211881
KYSE-410,713,GSK2606414,164,4.246275
KNS-42,390,TWS119,368,3.666646
MOG-G-CCM,326,Pemetrexed,274,3.690766
OCI-AML3,268,VNLG/124,383,0.914445
EKVX,30,QL-XI-92,299,6.601056
DND-41,645,Trichostatin A,365,-2.04486
NCI-H2342,482,GSK1059615,159,1.568442
huH-1,374,STF-62247,340,5.337497
ONS-76,356,Sunitinib,342,2.313367
DMS-114,586,I-BET-151,180,0.940436
NOS-1,89,OTX015,261,0.862129
NCI-H322M,28,CX-5461,108,4.405321
NCI-H660,792,EPZ5676,136,5.36106
MY-M12,862,Etoposide,138,0.2816
DBTRG-05MG,588,Linifanib,218,2.984402
COLO-829,615,AZD4877,46,-0.066484
YKG-1,147,Sorafenib,337,2.287041
SCC90,216,FH535,141,2.579512
NCI-H1155,419,PLX-4720,290,5.198917
MDST8,321,KU-60019,207,2.901368
EoL-1-cell,118,Motesanib,237,-3.843312
NCI-H441,625,Flavopiridol,142,-0.482116
KYSE-50,342,Linifanib,218,1.302504
KU-19-19,718,Pilaralisib,288,3.372312
KG-1,530,YK-4-279,405,0.448603
DoTc2-4510,585,Zibotentan,409,5.729715
NCI-H146,460,Olaparib,255,3.06168
HCC-827,743,Vismodegib,382,6.367726
SNU-1,813,Doxorubicin,125,-1.027517
HCC-827,743,Vinorelbine,381,-1.832171
HCC1395,598,Gefitinib,152,3.87102
JSC-1,453,LCL161,210,4.055748
NCI-H1092,421,Y-39983,404,4.211966
MDA-MB-468,406,Temsirolimus,351,0.430171
NCI-H82,800,AZD1332,40,3.009831
OAW-28,283,Erlotinib,137,3.212493
ETK-1,117,Staurosporine,339,-3.0575
ES5,108,PAC-1,264,1.384766
ES5,108,EPZ5676,136,5.231026
AsPC-1,610,Dactolisib,117,0.162417
SAT,180,Ibrutinib,184,0.542399
U-87-MG,850,NSC319726,248,0.369209
ES-2,583,LJI308,220,4.139567
MC116,411,Sabutoclax,314,-1.190727
NCI-H1915,515,XMD8-92,403,3.960664
LU-139,133,Olaparib,255,3.606283
KARPAS-231,704,Apitolisib,23,-2.082347
TUR,859,Uprosertib,375,2.152749
KYSE-520,710,ARRY-520,26,-5.476609
D-566MG,61,PRIMA-1MET,294,3.281622
COR-L303,310,BIBR-1532,67,3.750561
LN-229,449,AZD3514,43,3.605758
PANC-10-05,804,OF-1,254,7.231565
NB4,241,JQ1,198,-2.267353
SF268,11,Imatinib,188,3.29704
CW-2,123,AZD7762,55,2.172632
HCC-78,744,LFM-A13,215,4.206738
SK-MEL-28,8,SCH772984,323,-1.613546
EB-3,534,BPTES,77,3.007447
Hs-746T,432,UNC0642,373,2.406928
Raji,567,XMD8-85,402,2.270506
NCI-H1792,520,Dasatinib,119,0.111032
WM35,667,XMD11-85h,399,3.058842
HH,438,POMHEX,292,2.356834
DBTRG-05MG,588,torin2,360,-3.052242
RERF-LC-MS,185,BMS-754807,74,0.418619
HC-1,749,Ribociclib,306,3.388389
IST-SL1,76,KIN001-270,204,4.518329
SKG-IIIa,201,Capivasertib,86,4.634665
NCI-H2227,485,EHT-1864,126,5.379662
MOLT-13,244,Vinblastine,380,-5.072715
OE21,280,MK-2206,233,1.652518
NCI-H2087,467,LDN-193189,211,0.634274
RKO,764,Ponatinib,293,0.104133
NCI-H650,793,Dihydrorotenone,120,3.022883
KYSE-140,717,GSK591,171,4.876374
FU-OV-1,724,LIMK1 inhibitor BMS4,217,5.494323
NB17,100,PF-00299804,276,2.422856
NB13,102,I-BRD9,182,3.274847
NB7,55,Fedratinib,140,1.651755
NCI-H1770,491,XMD13-2,400,4.089028
SNG-M,196,Crizotinib,105,2.093808
SK-MEL-31,775,Sorafenib,337,2.650996
NCI-H748,786,PI-103,285,-0.365807
DK-MG,646,I-BET-151,180,0.683978
T24,845,PHA-793887,283,2.988801
ES6,107,P22077,263,6.157186
OSC-19,355,WYE-125132,394,3.59693
OVCAR-3,21,AZD2014,42,3.426866
KON,388,KU-60019,207,1.968559
SiHa,765,Leflunomide,212,5.519215
MV-4-11,424,Avagacestat,33,3.542062
EB2,584,Amuvatinib,22,3.410619
AMO-1,681,BEN,63,3.118345
786-0,36,HG6-64-1,179,-1.251573
LP-1,170,LIMK1 inhibitor BMS4,217,4.993488
DMS-53,317,NVP-BHG712,251,5.30637
LOUCY,172,Trametinib,363,1.066654
COR-L105,313,Dihydrorotenone,120,0.990698
WSU-NHL,227,Ibrutinib,184,0.789738
NCI-H460,48,RU-SKI 43,309,5.153984
CAL-78,629,XAV939,398,4.147518
NB6,98,AZD1208,39,5.279646
697,750,Telomerase Inhibitor IX,349,0.068768
VMRC-RCZ,149,AT13148,31,5.464964
769-P,542,Romidepsin,308,-3.712753
TOV-21G,830,UNC0642,373,1.395445
ES8,106,Schweinfurthin A,324,-3.077095
DBTRG-05MG,588,Mitoxantrone,231,1.521419
SBC-1,192,MK-1775,232,-0.321244
OVCAR-4,16,ML323,235,4.91388
CA46,614,OSI-027,257,5.650906
SK-PN-DW,768,Sepantronium bromide,328,-4.908078
PA-TU-8902,262,Nilotinib,243,6.191836
L-1236,146,CZC24832,112,2.61761
NCI-H2052,471,Avagacestat,33,5.579394
OE19,281,ZSTK474,412,4.647098
SJRH30,766,Bicalutamide,68,4.206254
KP-2,371,NVP-ADW742,250,3.502359
P30-OHK,191,Sabutoclax,314,-2.664398
SNU-449,854,AT-7519,30,2.583695
A431,683,STF-62247,340,4.484456
MMAc-SF,870,Erlotinib,137,5.706437
DG-75,647,PF-4708671,277,2.589022
NCI-H1651,498,NPK76-II-72-1,245,4.550586
KARPAS-299,698,NVP-TAE684,252,-2.986844
CAL-12T,639,LIMK1 inhibitor BMS4,217,4.511905
HuCCT1,375,BEN,63,4.503157
D-392MG,335,AGI-6780,13,3.35424
HCC1419,597,Embelin,129,3.051373
KYSE-50,342,GSK2801,166,4.44732
BxPC-3,38,FTY-720,148,2.444637
LU-135,134,Avagacestat,33,4.526456
GP5d,330,A-366,3,5.069562
NB(TU)1-10,368,AZD1332,40,1.026123
SU-DHL-4,222,Staurosporine,339,-3.419077
SW872,822,Talazoparib,345,2.562117
BE-13,871,MK-1775,232,-1.792813
Mo-T,403,Ruxolitinib,311,5.329943
SK-MEL-3,776,Motesanib,237,5.654106
OCI-M1,264,AZD5363,48,2.071194
RCC-JW,551,Lestaurtinib,214,-0.609171
BT-474,660,PD173074,272,5.627029
RXF393,12,UNC0638,372,2.70228
CAL-85-1,628,Cyclophosphamide,110,5.505573
SF126,202,TGX221,354,2.334303
NCI-H1092,421,GSK1070916,160,1.95325
ALL-SIL,682,Podophyllotoxin bromide,291,-1.868364
NCI-H1793,508,Temozolomide,350,8.305081
5637,544,GSK2606414,164,3.110327
KYSE-50,342,Staurosporine,339,-2.009139
HLE,3,MK-1775,232,0.362204
ES4,109,A-366,3,5.274975
MHH-ES-1,205,torin2,360,-3.705774
LN-229,449,Obatoclax Mesylate,253,0.807688
ES6,107,GSK2830371,167,6.449173
BONNA-12,673,NU7441,249,0.880168
WM793B,666,CI-1033,97,1.356578
UACC-893,847,I-BET-151,180,2.260495
FU-OV-1,724,QL-XI-92,299,5.50123
OCI-AML3,268,Omipalisib,256,-4.371537
MFE-280,165,AR-42,24,-0.209862
HCC1599,593,GSK2606414,164,5.340912
KARPAS-299,698,Refametinib,304,2.307731
DEL,648,GSK1904529A,161,3.489702
D-502MG,63,NG-25,242,2.699436
NCI-H446,661,Mycophenolic acid,238,0.64844
KMOE-2,706,OF-1,254,2.669359
SK-MEL-2,9,Telomerase Inhibitor IX,349,-0.952986
NB13,102,CI-1040,98,2.685424
FU-OV-1,724,EHT-1864,126,4.669879
KYM-1,344,Romidepsin,308,-5.884616
H9,875,PFI-3,280,3.762473
RT-112,219,WIKI4,392,4.709179
AU565,609,Paclitaxel,265,-4.935798
NCI-H1435,425,BPTES,77,3.242393
SF126,202,RO-3306,307,2.300223
MKN28,105,PFI-1,279,3.303266
PFSK-1,801,Bromosporine,78,1.075114
HCC38,441,CP466722,101,2.086413
SNU-5,811,5-azacytidine,1,1.987523
DOK,333,Linifanib,218,3.086002
DMS-53,317,Apitolisib,23,2.122069
KNS-42,390,GSK1070916,160,3.823442
HSC-2,378,GSK690693,173,4.48511
A2780,65,Zibotentan,409,5.2046
NCI-H1836,519,MIRA-1,229,6.467125
NCI-H661,791,Foretinib,145,2.108228
CAL-78,629,Pemetrexed,274,3.534124
K5,2,Doxorubicin,125,-3.663752
NCI-H211,465,Parthenolide,268,3.155957
ES-2,583,OSI-027,257,3.223862
8-MG-BA,686,Lenalidomide,213,4.726781
JHH-7,396,ARRY-520,26,-2.382735
NCI-H1581,502,CGP-082996,94,3.583879
SHP-77,752,Dacarbazine,114,4.302707
CAL-120,640,Cabozantinib,84,2.481539
MS-1,92,Afatinib,10,1.064362
COLO-800,314,Avagacestat,33,4.020156
RCC10RGB,83,Y-39983,404,3.88981
GB-1,370,Linifanib,218,2.795703
CMK,657,JNK Inhibitor VIII,197,3.594599
NCI-H292,295,CUDC-101,107,-2.606828
NCI-H1651,498,CD532,92,0.647323
COR-L23,312,Tivozanib,357,0.216096
SUP-T1,818,LDN-193189,211,1.166786
NB13,102,BEN,63,2.969673
ES4,109,XMD14-99,401,3.316398
UM-UC-3,843,Tubastatin A,366,3.670707
NCI-H1755,492,MN-64,236,5.014831
NCI-H23,43,GSK319347A,168,3.863581
MONO-MAC-6,708,Pictilisib,286,-0.349823
SNG-M,196,AZD3514,43,2.121433
ME-180,405,ML323,235,5.006906
HCC2218,521,KIN001-244,202,2.699407
HSC-2,378,LFM-A13,215,4.544596
C2BBe1,867,AZD8931,59,1.947759
MOLT-16,243,Gallibiscoquinazole,150,1.596231
DMS-53,317,IPA-3,191,6.318149
U-87-MG,850,Apitolisib,23,1.23678
NCI-H1915,515,TW 37,367,-1.787846
CAL-33,642,Elephantin,127,3.571708
HCC1937,591,Ipatasertib,192,3.039648
VAL,230,Linsitinib,219,3.371048
FLO-1,725,CZC24832,112,3.982469
ME-180,405,Luminespib,222,-2.415811
769-P,542,AT13148,31,2.203389
NCI-H2405,480,PF-4708671,277,3.57459
HT55,334,NVP-ADW742,250,1.529163
LK-2,340,AS601245,27,1.079668
MDA-MB-330,409,Wee1 Inhibitor,388,2.804473
HO-1-N-1,380,SB590885,322,4.519687
NCI-H661,791,A-366,3,5.839447
PANC-10-05,804,GSK2830371,167,7.883992
OVKATE,271,GNE-317,155,2.651755
NCI-H2141,461,Pazopanib,269,4.721205
NCI-H1869,517,AZD5582,50,2.284847
NAMALWA,414,Bicalutamide,68,4.162468
JiyoyeP-2003,545,XMD14-99,401,4.439489
NCI-H1435,425,Tamoxifen,346,4.555029
SNU-C2B,527,OTX015,261,1.36134
Caov-4,618,Y-39983,404,6.488709
769-P,542,AICA Ribonucleotide,15,8.259149
HCC1937,591,Dinaciclib,121,1.35839
SK-N-SH,769,Tamoxifen,346,3.60714
RCH-ACV,257,Leflunomide,212,3.046746
SW756,835,CPI-613,103,6.248549
Becker,292,Amuvatinib,22,3.790797
Calu-6,621,Mitoxantrone,231,0.354844
ML-1,250,I-BET-151,180,2.686688
HDLM-2,741,AZD1208,39,3.830968
WM793B,666,Ara-G,25,5.579476
SNU-1,813,Podophyllotoxin bromide,291,2.841417
SNU-398,842,BI-2536,65,-2.491689
ALL-PO,66,CCT245232,91,-4.463336
FTC-133,68,AZD1480,41,1.433104
IA-LM,143,Rucaparib,310,4.420725
SW1990,828,LFM-A13,215,4.423835
RKO,764,BMS-536924,73,2.727752
MHH-PREB-1,207,Palbociclib,266,1.150175
OVCAR-8,15,glutathione,154,9.446256
697,750,Selumetinib,327,3.839259
NMC-G1,364,Leflunomide,212,6.814097
SAT,180,Leflunomide,212,5.189444
EBC-1,288,Sapitinib,316,4.728702
MOLT-16,243,NVP-TAE684,252,-0.356312
CAL-33,642,IPA-3,191,5.625953
ONS-76,356,C-75,83,3.748697
NCI-H69,790,FR-180204,146,5.783082
JHH-4,398,Alisertib,18,1.486175
NB1,367,Remodelin,305,2.288075
OE19,281,LIMK1 inhibitor BMS4,217,4.517514
NCI-H522,27,FR-180204,146,4.534623
OVCA433,662,ARRY-520,26,-0.782205
NB(TU)1-10,368,LMP744,221,-2.849047
CAPAN-1,634,SN-38,335,-4.870897
SNU-175,71,Dihydrorotenone,120,-0.706139
COLO-679,125,AZD5438,49,1.621974
NCI-H1869,517,Masitinib,224,3.98693
SUP-B8,838,GSK343,169,0.76408
NB17,100,Idelalisib,187,5.02026
EJM,731,CCT-018159,89,2.732408
Hs-940-T,429,Talazoparib,345,1.757843
KYSE-450,712,Voxtalisib,385,3.641638
NCI-H2122,463,Entospletinib,131,2.813263
EB2,584,Bryostatin 1,79,-2.62668
WM35,667,KIN001-266,203,1.675118
SW982,824,PIK-93,287,1.892529
RCC-JW,551,Doramapimod,124,4.54214
639-V,687,Ipatasertib,192,3.483806
SW156,825,AST-1306,29,1.632111
EFM-192A,690,GW441756,175,3.378963
NCI-H345,475,BAY-61-3606,61,5.010593
K5,2,VX-702,387,2.977812
SIMA,214,Ipatasertib,192,3.240883
ESO51,331,Wnt-C59,393,2.751492
NUGC-3,361,Serdemetan,329,3.09337
T-T,152,Y-39983,404,3.341776
HT-29,41,IMD-0354,189,1.198472
NCI-H446,661,AZD4547,45,-0.180028
P32-ISH,189,GSK650394,172,0.459451
HCC1187,599,Ribociclib,306,4.114708
A673,571,Bromosporine,78,2.812234
HDQ-P1,740,AST-1306,29,1.21682
NCI-H322M,28,Trametinib,363,-3.142836
DMS-273,316,GSK2830371,167,4.635563
T-T,152,AGI-5198,12,5.183448
SNU-1,813,Osimertinib,259,2.693233
LN-405,173,Buparlisib,80,2.415741
L-540,159,OTX015,261,-0.106804
IGROV-1,54,Daporinad,118,-1.531823
K-562,532,PFI3,281,5.331354
RPMI-8866,284,HG-5-113-01,177,1.034492
SNB75,18,Alpelisib,19,2.694607
EVSA-T,726,SGC-CBP30,330,3.423675
LS-513,443,Selisistat,326,5.836732
MKN7,350,TW 37,367,1.571324
SNU-C2B,527,Ibrutinib,184,6.847801
HPAC,437,CUDC-101,107,-0.442765
NB17,100,CP466722,101,3.609655
CHP-134,126,MIM1,228,1.926152
CAL-120,640,TW 37,367,-0.561533
NCI-H196,513,Mycophenolic acid,238,2.165305
HT-115,328,Bortezomib,75,-4.390642
TC-71,233,Osimertinib,259,2.125196
OVKATE,271,QL-X-138,298,2.903227
LS-180,446,Epothilone B,134,-7.185139
SW1783,827,POMHEX,292,1.599278
NCI-H82,800,SN-38,335,-4.345898
NCI-H2171,488,NU7441,249,1.565405
IST-SL2,80,Vinblastine,380,-4.716121
EM-2,730,TPCA-1,362,1.723244
LN-18,450,Bosutinib,76,4.006171
SC-1,217,Tanespimycin,347,2.040548
NCI-H226,44,Navitoclax,240,4.999571
GCT,575,CCT-018159,89,2.247994
TT2609-C02,232,PCI-34051,270,6.28894
MS751,412,Ribociclib,306,3.818942
Becker,292,Daporinad,118,-2.542318
JURL-MK1,702,Alectinib,17,3.477291
BE2-M17,866,Sapitinib,316,4.998972
ALL-PO,66,Selisistat,326,4.579425
NCI-H1437,489,Osimertinib,259,2.469001
NCI-H322M,28,Paclitaxel,265,-1.032074
NUGC-3,361,QS11,301,2.751
SNU-C1,856,SL0101,334,5.398003
SU8686,849,AZD7762,55,1.487815
JSC-1,453,GSK-LSD1,158,2.531189
MEL-JUSO,166,IC-87114,185,5.458685
EC-GI-10,119,Irinotecan,193,1.886195
ST486,857,SNX-2112,336,-3.543045
OE19,281,XMD13-2,400,5.280571
639-V,687,Methotrexate,225,-1.682376
HCT-15,531,GW-2580,174,5.368516
NCI-H1435,425,Masitinib,224,4.610291
EFO-21,733,NU7441,249,6.347964
NCI-H1581,502,YM201636,406,1.938498
KASUMI-1,693,EHT-1864,126,2.90906
HDQ-P1,740,I-BET-151,180,3.559944
A101D,541,SB52334,321,4.445329
OPM-2,263,NSC-207895,246,3.855103
Hs-445,435,AZD8186,57,3.184107
OCI-AML5,267,Remodelin,305,3.678612
SW756,835,NSC-87877,247,3.541685
A3-KAW,297,GSK690693,173,3.198631
HT-115,328,OSI-930,258,4.803033
OE19,281,SB590885,322,1.711969
NCI-H2170,473,RO-3306,307,2.263182
NCI-H1299,417,GSK1070916,160,2.23863
WSU-NHL,227,YK-4-279,405,0.429196
NCI-H2085,468,BIBR-1532,67,5.441732
NCI-H226,44,Bosutinib,76,5.744706
OVTOKO,238,IPA-3,191,4.807563
WM-115,688,Voxtalisib,385,3.535771
A204,539,Zibotentan,409,6.565396
SNU-5,811,Shikonin,332,0.946022
HEC-1,382,SCH772984,323,5.222699
D-502MG,63,AZD1332,40,1.973315
Hs-633T,434,Palbociclib,266,2.422031
LU-139,133,AZD5991,51,4.064887
AGS,573,LGK974,216,4.005501
U251,24,NSC319726,248,-5.253828
RPMI-8402,220,Tenovin-6,353,0.909289
HT55,334,AT7867,32,5.743165
A2058,538,GSK-LSD1,158,1.789735
NB1,367,Docetaxel,123,-3.391484
NCI-H2087,467,IC-87114,185,5.618315
LoVo,564,POMHEX,292,-0.109241
WIL2-NS,773,WZ4003,397,3.622272
SW1710,234,Obatoclax Mesylate,253,0.956393
RCC-FG2,553,QL-X-138,298,1.76814
KP-N-YN,348,AKT inhibitor VIII,16,4.698758
KMH-2,400,MK-8776,234,3.039609
NCI-H650,793,AZD8835,58,3.071524
BICR78,301,T0901317,343,4.628618
769-P,542,SU11274,341,3.413872
PC-14,84,Buparlisib,80,0.87699
CADO-ES1,658,Venetoclax,379,-0.885744
HPAF-II,436,GSK2110183B,162,4.499085
LoVo,564,MK-1775,232,-0.661932
TE-10,179,Alisertib,18,1.495827
NCI-H2085,468,Dinaciclib,121,0.034976
NCI-H2171,488,Torin 2,359,-2.007506
A3-KAW,297,Acetalax,8,5.05517
A549,612,Wee1 Inhibitor,388,2.146738
PANC-03-27,807,PF-00299804,276,1.3634
SW1463,561,SU11274,341,6.230811
RH-1,240,AZ960,38,-0.263915
NCI-H2291,483,SU11274,341,5.515659
LNCaP-Clone-FGC,448,Sabutoclax,314,-2.221434
RERF-LC-Sq1,184,Lestaurtinib,214,1.233787
ES7,112,Panobinostat,267,-3.575138
LS-180,446,Midostaurin,227,-0.164778
KARPAS-231,704,I-BRD9,182,4.716915
KALS-1,395,CCT245232,91,-2.646192
BONNA-12,673,Pevonedistat,275,-2.035111
BHT-101,676,Ispinesib Mesylate,194,-0.540589
NB69,91,AZD6094,52,3.039145
HPAC,437,Vismodegib,382,6.849032
HTC-C3,298,Wnt-C59,393,3.189609
ES7,112,AZD6482,53,0.057802
FADU,582,FR-180204,146,5.318265
MHH-CALL-2,161,Alpelisib,19,2.315633
IGROV-1,54,GW441756,175,3.449055
SCC90,216,XMD8-92,403,3.565865
NU-DUL-1,251,CGP-60474,95,-2.946323
TE-9,155,Lapatinib,209,3.831799
Calu-3,622,Thapsigargin,355,-1.277387
NCI-H1435,425,OTX015,261,3.597306
RCC-ER,554,IMD-0354,189,-0.175591
YAPC,226,Wee1 Inhibitor,388,4.073713
OACM5-1,252,Bicalutamide,68,5.073806
RXF393,12,BI-2536,65,1.017683
DMS-79,318,CP466722,101,3.925951
NOMO-1,369,A-366,3,3.458601
JVM-2,701,CX-5461,108,1.514348
NB1,367,Bleomycin,70,2.669883
786-0,36,OSU-03012,260,-0.591879
ML-1,250,Alpelisib,19,3.510483
HuH-7,373,NG-25,242,3.69624
P12-ICHIKAWA,269,AZD2014,42,1.777553
MS751,412,Dactolisib,117,-1.172901
NCI-H526,797,PD0325901,271,2.625691
SW1088,819,Axitinib,34,1.704641
KON,388,CCT-018159,89,2.907925
SNU-16,812,SL0101,334,2.288061
PF-382,259,CZC24832,112,4.959092
MG-63,319,Avagacestat,33,4.114886
NCI-H526,797,Panobinostat,267,-4.805198
COLO-678,655,Ruxolitinib,311,7.789188
KYAE-1,324,Luminespib,222,-0.75706
Saos-2,758,Osimertinib,259,3.364631
TT2609-C02,232,PRIMA-1MET,294,7.643845
MS-1,92,Piperlongumine,289,1.728347
HCC2998,29,Teniposide,352,0.084651
OCI-M1,264,Axitinib,34,1.082369
H9,875,QL-X-138,298,1.372398
CAL-85-1,628,Dactinomycin,116,-4.089343
HCC1395,598,Bicalutamide,68,4.983212
KP-3,360,Linifanib,218,2.867896
SK-MEL-28,8,Trichostatin A,365,-0.10906
EFM-19,735,OSI-930,258,5.646341
ABC-1,296,SL0101,334,5.23123
SCC-25,756,OSI-027,257,5.277911
A704,572,CI-1040,98,2.844974
LCLC-97TM1,174,Pyridostatin,296,5.402671
NCI-H64,795,KIN001-266,203,2.733128
DOHH-2,671,Doxorubicin,125,-3.851559
KP-N-RT-BM-1,349,PHA-665752,282,3.283286
HuH-7,373,Pemetrexed,274,4.746412
MKN45,93,Sabutoclax,314,-1.050506
KMRC-20,392,Masitinib,224,3.802728
L-540,159,AZD8055,56,0.226631
SNU-423,858,NPK76-II-72-1,245,2.31805
OCI-M1,264,STF-62247,340,1.893506
KELLY,697,Olaparib,255,2.535689
NCI-H2347,481,NSC-207895,246,4.618765
L-428,157,PHA-665752,282,3.05874
RKO,764,Paclitaxel,265,-4.19456
DEL,648,Rucaparib,310,2.234992
BxPC-3,38,Quizartinib,302,2.61697
HPAF-II,436,WZ4003,397,5.366916
HTC-C3,298,LJI308,220,3.976581
U251,24,GSK343,169,5.963901
MKN7,350,LIMK1 inhibitor BMS4,217,4.386585
EB2,584,CI-1033,97,3.695886
DMS-53,317,Podophyllotoxin bromide,291,1.426876
HCC-44,745,JQ12,199,-1.060097
KGN,139,Dactolisib,117,-3.235521
BONNA-12,673,Niraparib,244,2.23371
KP-N-YN,348,Methotrexate,225,-1.024058
SUP-B8,838,GW441756,175,1.264325
SIG-M5,215,Elesclomol,128,-4.259792
TGBC24TKB,111,Fedratinib,140,3.107788
LU-139,133,IMD-0354,189,0.048531
NCI-H2087,467,AZ6102,36,3.850787
TUR,859,Ispinesib Mesylate,194,-3.768065
COR-L88,306,PI-103,285,3.217489
KYSE-510,711,ZSTK474,412,2.200307
CAL-29,636,Cediranib,93,1.51852
OVCAR-4,16,GSK319347A,168,2.867866
MDA-MB-468,406,Temozolomide,350,6.21462
YH-13,148,RO-3306,307,3.848422
MC-IXC,872,GSK-J4,157,1.879881
LNCaP-Clone-FGC,448,I-BRD9,182,3.537474
L-428,157,AZD5153,47,1.768016
HCC2218,521,C-75,83,4.16016
MOG-G-CCM,326,Pictilisib,286,0.809481
BFTC-905,678,CPI-613,103,4.130715
NCI-H1568,504,IOX2,190,0.159024
KM-H2,705,CD532,92,0.880484
SW837,560,PRIMA-1MET,294,7.185385
SNU-C2B,527,BMS-509744,72,1.632301
ABC-1,296,Mitomycin-C,230,-2.0559
CAL-78,629,HG6-64-1,179,0.672023
CW-2,123,CI-1033,97,2.849961
RT-112,219,PFI-3,280,4.633339
CaR-1,290,BEN,63,3.84802
PFSK-1,801,Palbociclib,266,4.259299
DMS-53,317,(5Z)-7-Oxozeaenol,0,1.627782
NCI-H716,526,Sepantronium bromide,328,0.13608
SR,19,UNC1215,374,1.954483
LC-2-ad,136,ARRY-520,26,-4.261798
BC-3,607,Pemetrexed,274,-1.353425
EFO-27,732,OSI-027,257,2.578812
H-EMC-SS,329,PHA-793887,283,2.856642
MY-M12,862,Cyclophosphamide,110,4.248041
NCI-H1770,491,OSU-03012,260,1.466375
THP-1,833,Dinaciclib,121,-3.79781
CESS,617,Torin 2,359,-3.571216
H9,875,GSK591,171,3.146473
KNS-62,389,alpha-lipoic acid,20,7.931363
WM35,667,Zibotentan,409,4.807328
KMH-2,400,CD532,92,-0.978307
AMO-1,681,Gefitinib,152,2.780888
COLO-684,46,Camptothecin,85,-0.994786
OACM5-1,252,Tubastatin A,366,2.905198
KYM-1,344,XAV939,398,4.079941
Hey,664,Wnt-C59,393,5.463213
TGBC1TKB,97,AZD4877,46,-3.942559
HCC2157,522,Pemetrexed,274,2.912586
LS-180,446,Ara-G,25,6.059349
GCT,575,PF-00299804,276,2.218299
A427,546,AZD1480,41,0.421013
DK-MG,646,Topotecan,358,2.856673
ABC-1,296,PCI-34051,270,4.970723
